date,total_vaccinations
20201202,726920.0
20201203,726920.0
20201204,726920.0
20201205,726920.0
20201206,726920.0
20201207,726920.0
20201208,726920.0
20201209,726920.0
20201210,726920.0
20201211,726920.0
20201212,726920.0
20201213,726920.0
20201214,726920.0
20201215,726920.0
20201216,726920.0
20201217,726920.0
20201218,726920.0
20201219,726920.0
20201220,726920.0
20201221,726920.0
20201222,726920.0
20201223,726920.0
20201224,726920.0
20201225,726920.0
20201226,726920.0
20201227,726920.0
20201228,726920.0
20201229,726920.0
20201230,726920.0
20201231,726920.0
20210101,726920.0
20210102,726920.0
20210103,726920.0
20210104,726920.0
20210105,726920.0
20210106,726920.0
20210107,726920.0
20210108,726920.0
20210109,726920.0
20210110,726920.0
20210111,726920.0
20210112,726920.0
20210113,726920.0
20210114,726920.0
20210115,726920.0
20210116,726920.0
20210117,726920.0
20210118,726920.0
20210119,726920.0
20210120,726920.0
20210121,726920.0
20210122,726920.0
20210123,726920.0
20210124,726920.0
20210125,726920.0
20210126,726920.0
20210127,726920.0
20210128,0.0
20210129,5286.0
20210130,37825.0
20210131,59154.0
20210201,95550.0
20210202,118767.0
20210203,139914.0
20210204,146327.0
20210205,156310.0
20210206,160148.0
20210207,161773.0
20210208,167762.0
20210209,174193.0
20210210,176725.0
20210211,178087.0
20210212,179197.0
20210213,186654.0
20210214,189349.0
20210215,192938.0
20210216,196163.0
20210217,210405.0
20210218,233472.0
20210219,263779.0
20210220,302857.0
20210221,338769.0
20210222,354352.0
20210223,366907.0
20210224,393469.0
20210225,726920.0
20210226,406633.0
20210227,441976.0
20210228,466350.0
20210301,509275.0
20210302,553821.0
20210303,599991.0
20210304,650991.0
20210305,699521.0
20210306,724278.0
20210307,729562.0
20210308,737062.0
20210309,743775.0
20210310,752098.0
20210311,759548.0
20210312,760765.0
20210313,770408.0
20210314,773011.0
20210315,784500.0
20210316,796792.0
20210317,806449.0
20210318,815585.0
20210319,824523.0
20210320,829220.0
20210321,829865.0
20210322,838355.0
20210323,726920.0
20210324,726920.0
20210325,726920.0
20210326,726920.0
20210327,884164.0
20210328,894053.0
20210329,894365.0
20210330,903467.0
20210331,913219.0
20210401,919753.0
20210402,923954.0
20210403,726920.0
20210404,924479.0
20210405,726920.0
20210406,924536.0
20210407,924687.0
20210408,726920.0
20210409,925082.0
20210410,726920.0
20210411,925242.0
20210412,726920.0
20210413,726920.0
20210414,726920.0
20210415,726920.0
20210416,726920.0
20210417,726920.0
20210418,726920.0
20210419,726920.0
20210420,726920.0
20210421,726920.0
20210422,726920.0
20210423,726920.0
20210424,726920.0
20210425,726920.0
20210426,726920.0
20210427,726920.0
20210428,726920.0
20210429,933591.0
20210430,953461.0
20210501,991299.0
20210502,1016195.0
20210503,1024978.0
20210504,1048113.0
20210505,1069828.0
20210506,1088093.0
20210507,1105342.0
