date,positive_rate
20210301,0.037
20210302,0.036
20210303,0.034
20210304,0.034
20210305,0.032
20210306,0.028
20210307,0.032
20210308,0.031
20210309,0.031
20210310,0.031
20210311,0.031
20210312,0.031
20210313,0.032
20210314,0.03
20210315,0.03
20210316,0.028
20210317,0.03
20210318,0.028
20210319,0.03
20210320,0.027
20210321,0.03
20210322,0.03
20210323,0.031
20210324,0.029
20210325,0.03
20210326,0.028
20210327,0.03
20210328,0.026
20210329,0.025
20210330,0.023
20210331,0.024
20210401,0.023
20210402,0.022
20210403,0.021
20210404,0.02
20210405,0.018
20210406,0.019
20210407,0.018
20210408,0.02
20210409,0.022
20210410,0.024
20210411,0.026
20210412,0.028
20210413,0.03
20210414,0.031
20210415,0.034
20210416,0.036
20210417,0.036
20210418,0.042
20210419,0.041
20210420,0.042
20210421,0.046
20210422,0.044
20210423,0.047
20210424,0.052
20210425,0.052
20210426,0.057
20210427,0.061
20210428,0.069
20210429,0.072
20210430,0.07
20210501,0.071
20210502,0.073
20210503,0.077
20210504,0.078
20210505,0.075
20210506,0.03
20210507,0.03
