date,total_cases
20210128,61586.0
20210129,62445.0
20210130,63293.0
20210131,64157.0
20210201,64983.0
20210202,65698.0
20210203,66409.0
20210204,67115.0
20210205,67850.0
20210206,68576.0
20210207,69348.0
20210208,70235.0
20210209,71211.0
20210210,72174.0
20210211,73116.0
20210212,74056.0
20210213,74852.0
20210214,75654.0
20210215,76428.0
20210216,77184.0
20210217,77906.0
20210218,78420.0
20210219,78937.0
20210220,79480.0
20210221,79999.0
20210222,80517.0
20210223,81009.0
20210224,81467.0
20210225,81933.0
20210226,82430.0
20210227,82890.0
20210228,83094.0
20210301,83552.0
20210302,83870.0
20210303,84226.0
20210304,84610.0
20210305,84960.0
20210306,85150.0
20210307,85695.0
20210308,86039.0
20210309,86343.0
20210310,86685.0
20210311,86989.0
20210312,87286.0
20210313,87600.0
20210314,87907.0
20210315,88238.0
20210316,88392.0
20210317,88862.0
20210318,89024.0
20210319,89497.0
20210320,89655.0
20210321,90200.0
20210322,90514.0
20210323,90765.0
20210324,91018.0
20210325,91289.0
20210326,91561.0
20210327,91839.0
20210328,92088.0
20210329,92303.0
20210330,92442.0
20210331,92706.0
20210401,92917.0
20210402,93128.0
20210403,93295.0
20210404,93436.0
20210405,93595.0
20210406,93690.0
20210407,93910.0
20210408,94253.0
20210409,94564.0
20210410,94848.0
20210411,95131.0
20210412,95394.0
20210413,95620.0
20210414,95719.0
20210415,95949.0
20210416,96186.0
20210417,96354.0
20210418,96796.0
20210419,97105.0
20210420,97472.0
20210421,98050.0
20210422,98722.0
20210423,99518.0
20210424,100586.0
20210425,101379.0
20210426,102376.0
20210427,103487.0
20210428,104953.0
20210429,106484.0
20210430,108146.0
20210501,109862.0
20210502,111753.0
20210503,113676.0
20210504,115590.0
20210505,117529.0
20210506,119424.0
20210507,121338.0
