date,total_recovered
20210130,56277.0
20210131,57159.0
20210201,58075.0
20210202,59043.0
20210203,59883.0
20210204,60567.0
20210205,61461.0
20210206,62594.0
20210207,63401.0
20210208,64141.0
20210209,65053.0
20210210,65644.0
20210211,66211.0
20210212,66984.0
20210213,67831.0
20210214,68696.0
20210215,69411.0
20210216,70429.0
20210217,71176.0
20210218,71823.0
20210219,72566.0
20210220,73456.0
20210221,74299.0
20210222,75110.0
20210223,75842.0
20210224,76514.0
20210225,76961.0
20210226,77625.0
20210227,78373.0
20210228,78947.0
20210301,79422.0
20210302,80020.0
20210303,80437.0
20210304,80836.0
20210305,81321.0
20210306,81769.0
20210307,82059.0
20210308,82513.0
20210309,82753.0
20210310,83210.0
20210311,83561.0
20210312,83958.0
20210313,84253.0
20210314,84648.0
20210315,84969.0
20210316,84969.0
20210317,85725.0
20210318,85944.0
20210319,86227.0
20210320,86466.0
20210321,86759.0
20210322,87058.0
20210323,87306.0
20210324,87630.0
20210325,87881.0
20210326,88145.0
20210327,88388.0
20210328,88623.0
20210329,88914.0
20210330,89090.0
20210331,89251.0
20210401,89407.0
20210402,89701.0
20210403,90021.0
20210404,90208.0
20210405,90563.0
20210406,90708.0
20210407,90917.0
20210408,91044.0
20210409,91272.0
20210410,91456.0
20210411,91631.0
20210412,91775.0
20210413,91926.0
20210414,92151.0
20210415,92308.0
20210416,92611.0
20210417,92832.0
20210418,93113.0
20210419,93374.0
20210420,93547.0
20210421,93668.0
20210422,93884.0
20210423,94036.0
20210424,94155.0
20210425,94311.0
20210426,94577.0
20210427,94856.0
20210428,95083.0
20210429,95445.0
20210430,95975.0
20210501,96478.0
20210502,97848.0
